Cell	Group	Amp	Shape	Rep	Spikes
11	8	1	4	4	1
11	8	2	1	4	0
11	8	2	2	4	0
11	8	2	3	4	2
11	8	2	4	4	3
11	8	3	1	4	0
11	8	3	2	4	0
11	8	3	3	4	4
11	8	3	4	4	4
14	8	1	1	1	0
14	8	1	2	1	0
14	8	1	3	1	0
14	8	1	4	1	0
14	8	2	1	1	0
14	8	2	2	1	0
14	8	2	3	1	1
14	8	2	4	1	0
14	8	3	1	1	1
14	8	3	2	1	1
14	8	3	3	1	1
14	8	3	4	1	0
14	8	1	1	2	0
14	8	1	2	2	0
14	8	1	3	2	0
14	8	1	4	2	0
14	8	2	1	2	0
14	8	2	2	2	0
14	8	2	3	2	0
14	8	2	4	2	0
14	8	3	1	2	0
14	8	3	2	2	1
14	8	3	3	2	1
14	8	3	4	2	0
14	8	1	1	3	0
14	8	1	2	3	0
14	8	1	3	3	0
14	8	1	4	3	0
14	8	2	1	3	0
14	8	2	2	3	0
14	8	2	3	3	0
14	8	2	4	3	0
14	8	3	1	3	0
14	8	3	2	3	1
14	8	3	3	3	1
14	8	3	4	3	1
14	8	1	1	4	0
14	8	1	2	4	0
14	8	1	3	4	0
14	8	1	4	4	0
14	8	2	1	4	0
14	8	2	2	4	0
14	8	2	3	4	0
14	8	2	4	4	0
14	8	3	1	4	1
14	8	3	2	4	1
14	8	3	3	4	1
14	8	3	4	4	0
15	8	1	1	1	0
15	8	1	2	1	0
15	8	1	3	1	0
15	8	1	4	1	0
15	8	2	1	1	0
15	8	2	2	1	0
15	8	2	3	1	0
15	8	2	4	1	0
15	8	3	1	1	0
15	8	3	2	1	0
15	8	3	3	1	0
15	8	3	4	1	0
15	8	1	1	2	0
15	8	1	2	2	0
15	8	1	3	2	0
15	8	1	4	2	0
15	8	2	1	2	0
15	8	2	2	2	0
15	8	2	3	2	0
15	8	2	4	2	0
15	8	3	1	2	0
15	8	3	2	2	0
15	8	3	3	2	0
15	8	3	4	2	0
15	8	1	1	3	0
15	8	1	2	3	0
15	8	1	3	3	0
15	8	1	4	3	0
15	8	2	1	3	0
15	8	2	2	3	0
15	8	2	3	3	0
15	8	2	4	3	0
15	8	3	1	3	0
15	8	3	2	3	0
15	8	3	3	3	1
15	8	3	4	3	1
15	8	1	1	4	0
15	8	1	2	4	0
15	8	1	3	4	0
15	8	1	4	4	0
15	8	2	1	4	0
15	8	2	2	4	0
15	8	2	3	4	0
15	8	2	4	4	0
15	8	3	1	4	0
15	8	3	2	4	0
15	8	3	3	4	1
15	8	3	4	4	0
17	8	1	1	1	0
17	8	1	2	1	0
17	8	1	3	1	0
17	8	1	4	1	0
17	8	2	1	1	0
17	8	2	2	1	0
17	8	2	3	1	1
17	8	2	4	1	0
17	8	3	1	1	0
17	8	3	2	1	0
17	8	3	3	1	0
17	8	3	4	1	1
17	8	1	1	2	0
17	8	1	2	2	0
17	8	1	3	2	0
17	8	1	4	2	0
17	8	2	1	2	0
17	8	2	2	2	0
17	8	2	3	2	1
17	8	2	4	2	1
17	8	3	1	2	0
17	8	3	2	2	1
17	8	3	3	2	1
17	8	3	4	2	1
17	8	1	1	3	0
17	8	1	2	3	0
17	8	1	3	3	0
17	8	1	4	3	0
17	8	2	1	3	0
17	8	2	2	3	0
17	8	2	3	3	1
17	8	2	4	3	0
17	8	3	1	3	1
17	8	3	2	3	1
17	8	3	3	3	1
17	8	3	4	3	1
17	8	1	1	4	0
17	8	1	2	4	0
17	8	1	3	4	0
17	8	1	4	4	0
17	8	2	1	4	0
17	8	2	2	4	0
17	8	2	3	4	1
17	8	2	4	4	1
17	8	3	1	4	0
17	8	3	2	4	1
17	8	3	3	4	1
17	8	3	4	4	1
18	8	1	1	1	0
18	8	1	2	1	0
18	8	1	3	1	0
18	8	1	4	1	0
18	8	2	1	1	0
18	8	2	2	1	1
18	8	2	3	1	1
18	8	2	4	1	0
18	8	3	1	1	1
18	8	3	2	1	1
18	8	3	3	1	2
18	8	3	4	1	0
18	8	1	1	2	0
18	8	1	2	2	0
18	8	1	3	2	0
18	8	1	4	2	0
18	8	2	1	2	0
18	8	2	2	2	0
18	8	2	3	2	0
18	8	2	4	2	0
18	8	3	1	2	1
18	8	3	2	2	1
18	8	3	3	2	1
18	8	3	4	2	1
18	8	1	1	3	0
18	8	1	2	3	0
18	8	1	3	3	0
18	8	1	4	3	0
18	8	2	1	3	0
18	8	2	2	3	1
18	8	2	3	3	0
18	8	2	4	3	0
18	8	3	1	3	1
18	8	3	2	3	1
18	8	3	3	3	1
18	8	3	4	3	1
18	8	1	1	4	0
18	8	1	2	4	0
18	8	1	3	4	0
18	8	1	4	4	0
18	8	2	1	4	0
18	8	2	2	4	1
18	8	2	3	4	0
18	8	2	4	4	0
18	8	3	1	4	1
18	8	3	2	4	1
18	8	3	3	4	1
18	8	3	4	4	0
19	8	1	1	1	0
19	8	1	2	1	0
19	8	1	3	1	0
19	8	1	4	1	0
19	8	2	1	1	0
19	8	2	2	1	1
19	8	2	3	1	0
19	8	2	4	1	1
19	8	3	1	1	1
19	8	3	2	1	1
19	8	3	3	1	1
19	8	3	4	1	1
19	8	1	1	2	0
19	8	1	2	2	0
19	8	1	3	2	0
19	8	1	4	2	0
19	8	2	1	2	0
19	8	2	2	2	1
19	8	2	3	2	1
19	8	2	4	2	0
19	8	3	1	2	1
19	8	3	2	2	1
19	8	3	3	2	1
19	8	3	4	2	0
19	8	1	1	3	0
19	8	1	2	3	0
19	8	1	3	3	0
19	8	1	4	3	0
19	8	2	1	3	1
19	8	2	2	3	0
19	8	2	3	3	0
19	8	2	4	3	0
19	8	3	1	3	1
19	8	3	2	3	1
19	8	3	3	3	1
19	8	3	4	3	1
19	8	1	1	4	0
19	8	1	2	4	0
19	8	1	3	4	0
19	8	1	4	4	0
19	8	2	1	4	1
19	8	2	2	4	1
19	8	2	3	4	1
19	8	2	4	4	0
19	8	3	1	4	1
19	8	3	2	4	1
19	8	3	3	4	1
19	8	3	4	4	1
